date,open,high,low,close,volume
2011-02-11 00:00:00+05:30,428.9,436.1,423.25,433.7,9598168
2011-02-14 00:00:00+05:30,431.85,437.65,426.15,436.0,14458369
2011-02-15 00:00:00+05:30,435.8,450.3,434.35,448.8,13077311
2011-02-16 00:00:00+05:30,447.2,453.15,447.1,450.0,5295664
2011-02-17 00:00:00+05:30,451.75,455.35,446.2,454.65,6758426
2011-02-18 00:00:00+05:30,455.65,458.95,444.2,445.9,7552906
2011-02-21 00:00:00+05:30,446.15,457.95,445.25,455.8,12292397
2011-02-22 00:00:00+05:30,472.8,481.1,466.7,469.4,42648538
2011-02-23 00:00:00+05:30,470.1,477.7,469.45,474.55,14956470
2011-02-24 00:00:00+05:30,474.7,475.95,456.75,459.55,15780996
2011-02-25 00:00:00+05:30,467.4,468.15,454.95,460.5,7242826
2011-02-28 00:00:00+05:30,462.4,473.9,457.55,459.55,10785248
2011-03-01 00:00:00+05:30,464.05,473.1,460.95,471.3,6053887
2011-03-03 00:00:00+05:30,464.8,469.45,461.4,465.85,9361401
2011-03-04 00:00:00+05:30,469.3,474.1,466.15,468.1,7395602
2011-03-07 00:00:00+05:30,464.25,468.65,459.45,465.65,5669653
2011-03-08 00:00:00+05:30,466.1,473.0,466.1,469.45,5783016
2011-03-09 00:00:00+05:30,471.2,478.7,461.4,473.65,15574573
2011-03-10 00:00:00+05:30,473.1,473.25,468.0,469.35,4726014
2011-03-11 00:00:00+05:30,466.5,474.15,463.35,472.8,7194395
2011-03-14 00:00:00+05:30,473.25,486.5,472.9,485.35,13818238
2011-03-15 00:00:00+05:30,475.65,500.25,471.3,494.35,27072864
2011-03-16 00:00:00+05:30,498.05,502.8,494.75,499.05,9882470
2011-03-17 00:00:00+05:30,495.35,499.85,489.95,491.3,5938459
2011-03-18 00:00:00+05:30,493.3,493.3,470.2,473.25,19425203
2011-03-21 00:00:00+05:30,476.15,476.6,467.6,472.0,7456426
2011-03-22 00:00:00+05:30,473.3,478.95,472.85,476.45,4697118
2011-03-23 00:00:00+05:30,476.55,484.55,474.6,482.9,5477167
2011-03-24 00:00:00+05:30,484.2,487.05,478.45,481.5,5387930
2011-03-25 00:00:00+05:30,488.0,490.9,481.35,489.25,7382404
2011-03-28 00:00:00+05:30,489.1,493.9,483.4,488.85,9150776
2011-03-29 00:00:00+05:30,486.15,491.85,485.95,487.45,8681938
2011-03-30 00:00:00+05:30,489.7,494.45,488.1,492.1,5878814
2011-03-31 00:00:00+05:30,493.05,502.75,493.05,500.0,15109210
2011-04-01 00:00:00+05:30,500.0,508.0,491.35,493.95,9003556
2011-04-04 00:00:00+05:30,495.65,502.7,490.4,500.75,6288547
2011-04-05 00:00:00+05:30,501.6,504.7,495.65,499.3,5159093
2011-04-06 00:00:00+05:30,498.05,502.45,495.65,497.95,4356449
2011-04-07 00:00:00+05:30,498.1,499.25,493.3,496.55,4874617
2011-04-08 00:00:00+05:30,496.6,500.85,486.45,488.0,5753304
2011-04-11 00:00:00+05:30,482.8,485.85,478.35,479.15,5417978
2011-04-13 00:00:00+05:30,477.5,488.05,475.0,487.0,9168540
2011-04-15 00:00:00+05:30,485.5,488.45,479.0,486.6,6798157
2011-04-18 00:00:00+05:30,485.75,497.9,476.9,480.95,7095262
2011-04-19 00:00:00+05:30,478.85,484.9,476.0,482.15,5766359
2011-04-20 00:00:00+05:30,484.25,491.15,480.5,488.95,4947399
2011-04-21 00:00:00+05:30,493.2,497.65,490.9,495.95,7162723
2011-04-25 00:00:00+05:30,483.25,486.6,479.05,481.05,8699687
2011-04-26 00:00:00+05:30,480.9,480.9,475.45,477.15,8466313
2011-04-27 00:00:00+05:30,479.0,480.95,467.1,470.0,11851337
2011-04-28 00:00:00+05:30,472.8,473.25,462.3,463.45,17128069
2011-04-29 00:00:00+05:30,464.7,470.9,462.9,468.85,7163661
2011-05-02 00:00:00+05:30,468.95,470.3,458.15,459.8,6527305
2011-05-03 00:00:00+05:30,459.95,461.05,448.5,449.85,10565147
2011-05-04 00:00:00+05:30,450.4,456.0,448.0,451.65,5596229
2011-05-05 00:00:00+05:30,450.4,459.25,449.75,452.75,9392237
2011-05-06 00:00:00+05:30,454.2,457.55,452.35,455.2,6194894
2011-05-09 00:00:00+05:30,457.55,460.4,453.45,457.2,3843089
2011-05-10 00:00:00+05:30,457.2,459.4,451.15,453.15,3905664
2011-05-11 00:00:00+05:30,454.7,456.75,449.65,455.35,3931388
2011-05-12 00:00:00+05:30,453.5,455.05,448.5,450.65,4421539
